Video_Code,Set,Species,Number,Mom,Neighbour,Seed_Type,Seed_Number,Seed_Mass_mg,Plant_ID,Velocity_Vals_m_sec,Data_Index
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.599618441,3
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.638227603,4
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.635357049,5
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.625991315,6
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.635958358,7
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.5662068,8
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.62225116,9
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.623309221,10
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.621406782,11
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.592042594,12
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.63357097,13
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.579797151,14
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.62199185,15
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.588278846,16
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.594672308,17
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.618144021,18
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.620010291,19
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.553502582,20
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.624949018,21
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.611803748,22
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.584061993,23
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.598254967,24
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.596798572,25
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.574720803,26
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.588904015,27
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.655879774,28
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.607000714,29
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.583253837,30
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.605845687,31
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.661025877,32
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.592497603,33
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.628953361,34
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.62194301,35
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.613293516,36
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.668289827,37
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.65941856,38
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.614154372,39
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.622069839,40
