Full ID,Species,SppID,Hub,Transect,Mom,Wind_speed_1m,Wind_speed_10cm,Time,Day,prop_speed
AfreT2M3,L. fremontii,fre,A,2,3,5.36,2.36,06:51:00,14,0.4402985074626865
AglaT1M2,L. glaberrima,gla,A,1,2,3.06,1,07:00:00,14,0.32679738562091504
AglaT1M2,L. glaberrima,gla,A,1,2,5.7,1.57,07:00:00,14,0.2754385964912281
AglaT1M2,L. glaberrima,gla,A,1,2,5.7,2,07:00:00,14,0.3508771929824561
AglaT1M2,L. glaberrima,gla,A,1,2,3.27,1.15,07:00:00,14,0.3516819571865443
AglaT1M2,L. glaberrima,gla,A,1,2,3.59,1.15,07:00:00,14,0.3203342618384401
AglaT2M1,L. glaberrima,gla,A,2,1,3.59,1.57,07:04:00,14,0.43732590529247917
AglaT2M1,L. glaberrima,gla,A,2,1,5.7,2,07:04:00,14,0.3508771929824561
AglaT2M1,L. glaberrima,gla,A,2,1,4.47,2.36,07:04:00,14,0.5279642058165548
AglaT2M1,L. glaberrima,gla,A,2,1,3.06,1.43,07:04:00,14,0.46732026143790845
AglaT2M1,L. glaberrima,gla,A,2,1,5.7,2.18,07:04:00,14,0.3824561403508772
IcalT1M3,L. californica,cal,I,1,3,6.04,1.15,07:30:00,14,0.19039735099337746
IcalT1M3,L. californica,cal,I,1,3,7.76,1.43,07:30:00,14,0.1842783505154639
IcalT1M3,L. californica,cal,I,1,3,6.39,1.43,07:30:00,14,0.2237871674491393
IcalT1M3,L. californica,cal,I,1,3,9.14,2,07:30:00,14,0.2188183807439825
IcalT1M3,L. californica,cal,I,1,3,6.04,1.43,07:30:00,14,0.2367549668874172
IcalT2M3,L. californica,cal,I,2,3,6.9,2.71,07:33:00,14,0.3927536231884058
IcalT2M3,L. californica,cal,I,2,3,8.28,2.54,07:33:00,14,0.3067632850241546
IcalT2M3,L. californica,cal,I,2,3,5.53,2.36,07:33:00,14,0.42676311030741404
IcalT2M3,L. californica,cal,I,2,3,6.39,3.59,07:33:00,14,0.5618153364632238
IcalT2M3,L. californica,cal,I,2,3,7.59,2.89,07:33:00,14,0.38076416337285907
IfreT1M2,L. fremontii,fre,I,1,2,6.56,2.71,07:21:00,14,0.413109756097561
IfreT1M2,L. fremontii,fre,I,1,2,6.22,2.89,07:21:00,14,0.4646302250803859
IfreT1M2,L. fremontii,fre,I,1,2,7.76,2.89,07:21:00,14,0.37242268041237114
IfreT1M2,L. fremontii,fre,I,1,2,5.7,2,07:21:00,14,0.3508771929824561
IfreT1M2,L. fremontii,fre,I,1,2,5.87,1.86,07:21:00,14,0.31686541737649065
IglaT1M3,L. glaberrima,gla,I,1,3,6.73,2.89,07:18:00,14,0.4294205052005943
IglaT1M3,L. glaberrima,gla,I,1,3,8.62,3.59,07:18:00,14,0.41647331786542924
IglaT1M3,L. glaberrima,gla,I,1,3,10.2,3.59,07:18:00,14,0.3519607843137255
IglaT1M3,L. glaberrima,gla,I,1,3,8.8,2.89,07:18:00,14,0.3284090909090909
IglaT1M3,L. glaberrima,gla,I,1,3,5.7,3.06,07:18:00,14,0.5368421052631579
IglaT2M1,L. glaberrima,gla,I,2,1,5.36,1.29,07:23:00,14,0.24067164179104478
IglaT2M1,L. glaberrima,gla,I,2,1,6.22,1.43,07:23:00,14,0.22990353697749197
IglaT2M1,L. glaberrima,gla,I,2,1,5.53,1.72,07:23:00,14,0.31103074141048825
IglaT2M1,L. glaberrima,gla,I,2,1,5,1.43,07:23:00,14,0.286
IglaT2M1,L. glaberrima,gla,I,2,1,5.87,1.72,07:23:00,14,0.293015332197615
DglaT1M1,L. glaberrima,gla,D,1,1,6.56,1.86,07:45:00,14,0.2835365853658537
