Full ID,Species,SppID,Hub,Transect,Mom,Pin,Distance,Angle_Comp,Angle_Deg_fromN,Angle_Rad_fromN,Angle_Deg_fromE,Angle_Rad_fromE,Notes
CfreT1M1,L. fremontii,fre,C,1,1,9,3.2,13,281.25,4.91,168.75,2.95,
CfreT1M1,L. fremontii,fre,C,1,1,10,5.8,14,303.75,5.3,146.25,2.55,
CfreT1M1,L. fremontii,fre,C,1,1,11,6.7,1,11.25,0.2,78.75,1.37,
CfreT1M1,L. fremontii,fre,C,1,1,12,5.45,11,236.25,4.12,213.75,3.73,
CfreT1M1,L. fremontii,fre,C,1,1,13,5.4,11,236.25,4.12,213.75,3.73,
CfreT1M1,L. fremontii,fre,C,1,1,14,7,12,258.75,4.52,191.25,3.34,
CfreT1M1,L. fremontii,fre,C,1,1,15,14.9,3,56.25,0.98,33.75,0.59,
CfreT1M1,L. fremontii,fre,C,1,1,16,13.3,3,56.25,0.98,33.75,0.59,
CfreT1M1,L. fremontii,fre,C,1,1,17,10.6,5,101.25,1.77,168.75,2.95,
CfreT1M1,L. fremontii,fre,C,1,1,18,10.2,1,11.25,0.2,78.75,1.37,
CfreT1M1,L. fremontii,fre,C,1,1,19,9.8,2,33.75,0.59,56.25,0.98,
CfreT1M1,L. fremontii,fre,C,1,1,20,8.7,2,33.75,0.59,56.25,0.98,
CfreT1M1,L. fremontii,fre,C,1,1,21,7.4,2,33.75,0.59,56.25,0.98,
CfreT1M1,L. fremontii,fre,C,1,1,22,7.95,2,33.75,0.59,56.25,0.98,
CfreT1M1,L. fremontii,fre,C,1,1,23,8,2,33.75,0.59,56.25,0.98,
CfreT1M1,L. fremontii,fre,C,1,1,24,7.8,2,33.75,0.59,56.25,0.98,
CfreT1M1,L. fremontii,fre,C,1,1,25,7.45,2,33.75,0.59,56.25,0.98,
CfreT1M1,L. fremontii,fre,C,1,1,26,3.2,9,191.25,3.34,258.75,4.52,
CfreT1M1,L. fremontii,fre,C,1,1,27,5.3,10,213.75,3.73,236.25,4.12,
CfreT1M1,L. fremontii,fre,C,1,1,28,4.8,10,213.75,3.73,236.25,4.12,
CfreT1M1,L. fremontii,fre,C,1,1,29,5.2,10,213.75,3.73,236.25,4.12,
CfreT1M1,L. fremontii,fre,C,1,1,30,2.4,8,168.75,2.95,281.25,4.91,
CfreT1M1,L. fremontii,fre,C,1,1,31,3.6,8,168.75,2.95,281.25,4.91,
CfreT1M1,L. fremontii,fre,C,1,1,32,2.9,8,168.75,2.95,281.25,4.91,
CfreT1M1,L. fremontii,fre,C,1,1,33,3.6,8,168.75,2.95,281.25,4.91,
CfreT1M1,L. fremontii,fre,C,1,1,34,4.4,9,191.25,3.34,258.75,4.52,
CfreT1M1,L. fremontii,fre,C,1,1,35,5.8,8,168.75,2.95,281.25,4.91,
CfreT1M1,L. fremontii,fre,C,1,1,36,6.5,8,168.75,2.95,281.25,4.91,
CfreT1M1,L. fremontii,fre,C,1,1,37,6.2,8,168.75,2.95,281.25,4.91,
CfreT1M1,L. fremontii,fre,C,1,1,38,7.7,7,146.25,2.55,303.75,5.3,
CfreT1M1,L. fremontii,fre,C,1,1,39,8.4,7,146.25,2.55,303.75,5.3,
CfreT1M1,L. fremontii,fre,C,1,1,40,7.9,7,146.25,2.55,303.75,5.3,
CfreT1M1,L. fremontii,fre,C,1,1,41,9.85,6,123.75,2.16,326.25,5.69,
CfreT1M1,L. fremontii,fre,C,1,1,42,8.1,6,123.75,2.16,326.25,5.69,
CfreT1M2,L. fremontii,fre,C,1,2,NA,NA,NA,NA,NA,NA,NA,NA
CfreT1M3,L. fremontii,fre,C,1,3,NA,NA,NA,NA,NA,NA,NA,NA
CfreT2M1,L. fremontii,fre,C,2,1,NA,NA,NA,NA,NA,NA,NA,NA
CfreT2M2,L. fremontii,fre,C,2,2,1,6.65,7,146.25,2.55,303.75,5.3,
CfreT2M2,L. fremontii,fre,C,2,2,2,8.8,7,146.25,2.55,303.75,5.3,
CfreT2M2,L. fremontii,fre,C,2,2,3,6.55,6,123.75,2.16,326.25,5.69,
CfreT2M2,L. fremontii,fre,C,2,2,4,7,6,123.75,2.16,326.25,5.69,
CfreT2M2,L. fremontii,fre,C,2,2,5,8.3,7,146.25,2.55,303.75,5.3,
CfreT2M2,L. fremontii,fre,C,2,2,6,9.9,7,146.25,2.55,303.75,5.3,
CfreT2M2,L. fremontii,fre,C,2,2,7,8.55,6,123.75,2.16,326.25,5.69,
CfreT2M2,L. fremontii,fre,C,2,2,8,11.4,6,123.75,2.16,326.25,5.69,
CfreT2M2,L. fremontii,fre,C,2,2,9,17.05,6,123.75,2.16,326.25,5.69,
CfreT2M3,L. fremontii,fre,C,2,3,1,1.65,12,258.75,4.52,191.25,3.34,
CfreT2M3,L. fremontii,fre,C,2,3,2,1.45,13,281.25,4.91,168.75,2.95,
CfreT2M3,L. fremontii,fre,C,2,3,3,1.5,1,11.25,0.2,78.75,1.37,
CfreT2M3,L. fremontii,fre,C,2,3,4,1.5,4,78.75,1.37,11.25,0.2,
CfreT2M3,L. fremontii,fre,C,2,3,5,1.9,4,78.75,1.37,11.25,0.2,
CfreT2M3,L. fremontii,fre,C,2,3,6,1.75,4,78.75,1.37,11.25,0.2,
CfreT2M3,L. fremontii,fre,C,2,3,7,3.5,3,56.25,0.98,33.75,0.59,
CfreT2M3,L. fremontii,fre,C,2,3,8,6.4,3,56.25,0.98,33.75,0.59,
CfreT2M3,L. fremontii,fre,C,2,3,9,6.25,6,123.75,2.16,326.25,5.69,
CfreT2M3,L. fremontii,fre,C,2,3,10,14.4,4,78.75,1.37,11.25,0.2,
CfreT2M3,L. fremontii,fre,C,2,3,11,13.6,1,11.25,0.2,78.75,1.37,
CglaT1M1,L. glaberrima,gla,C,1,1,1,14.8,3,56.25,0.98,33.75,0.59,
CglaT1M1,L. glaberrima,gla,C,1,1,2,14.8,2,33.75,0.59,56.25,0.98,
CglaT1M1,L. glaberrima,gla,C,1,1,3,16.85,2,33.75,0.59,56.25,0.98,
CglaT1M2,L. glaberrima,gla,C,1,2,1,7.75,5,101.25,1.77,168.75,2.95,
CglaT1M2,L. glaberrima,gla,C,1,2,2,6.6,6,123.75,2.16,326.25,5.69,
CglaT1M3,L. glaberrima,gla,C,1,3,NA,NA,NA,NA,NA,NA,NA,NA
CglaT2M1,L. glaberrima,gla,C,2,1,NA,NA,NA,NA,NA,NA,NA,NA
CglaT2M2,L. glaberrima,gla,C,2,2,1,24.1,4,78.75,1.37,11.25,0.2,
CglaT2M2,L. glaberrima,gla,C,2,2,2,25.6,4,78.75,1.37,11.25,0.2,
CglaT2M2,L. glaberrima,gla,C,2,2,3,25.7,4,78.75,1.37,11.25,0.2,
CglaT2M2,L. glaberrima,gla,C,2,2,4,24.8,4,78.75,1.37,11.25,0.2,
CglaT2M2,L. glaberrima,gla,C,2,2,5,25.3,4,78.75,1.37,11.25,0.2,
CglaT2M3,L. glaberrima,gla,C,2,3,NA,NA,NA,NA,NA,NA,NA,NA
DcalT1M1,L. californica,cal,D,1,1,NA,NA,NA,NA,NA,NA,NA,NA
DcalT1M2,L. californica,cal,D,1,2,1,1,15,326.25,5.69,123.75,2.16,
DcalT1M2,L. californica,cal,D,1,2,2,1.35,16,348.75,6.09,101.25,1.77,
DcalT1M2,L. californica,cal,D,1,2,3,2.7,16,348.75,6.09,101.25,1.77,
DcalT1M2,L. californica,cal,D,1,2,4,5.05,16,348.75,6.09,101.25,1.77,
DcalT1M2,L. californica,cal,D,1,2,5,1.35,4,78.75,1.37,11.25,0.2,
DcalT1M2,L. californica,cal,D,1,2,6,2.2,5,101.25,1.77,168.75,2.95,
DcalT1M2,L. californica,cal,D,1,2,7,2.4,5,101.25,1.77,168.75,2.95,
DcalT1M2,L. californica,cal,D,1,2,8,3.2,6,123.75,2.16,326.25,5.69,
DcalT1M2,L. californica,cal,D,1,2,9,2.7,6,123.75,2.16,326.25,5.69,
DcalT1M2,L. californica,cal,D,1,2,10,4.05,6,123.75,2.16,326.25,5.69,
DcalT1M2,L. californica,cal,D,1,2,11,4.5,6,123.75,2.16,326.25,5.69,
DcalT1M2,L. californica,cal,D,1,2,12,5.65,6,123.75,2.16,326.25,5.69,
DcalT1M2,L. californica,cal,D,1,2,13,7.5,5,101.25,1.77,168.75,2.95,
DcalT1M2,L. californica,cal,D,1,2,14,4.1,5,101.25,1.77,168.75,2.95,
DcalT1M2,L. californica,cal,D,1,2,15,4.55,5,101.25,1.77,168.75,2.95,
DcalT1M2,L. californica,cal,D,1,2,16,3.3,5,101.25,1.77,168.75,2.95,
